#SRA,BioProject,Technology,Strain_ID
SRX213969,PRJNA174850,Illumina,VOR3
SRX213968,PRJNA174850,Illumina,STR3
SRX213967,PRJNA174850,Illumina,SCH
SRX213966,PRJNA174850,Illumina,RAS3
SRX213965,PRJNA174850,Illumina,HER3
SRX213964,PRJNA174850,Illumina,CH4
SRX213963,PRJNA174850,Illumina,CHAL3
SRX213962,PRJNA174850,Illumina,BR1
SRX213961,PRJNA174850,Illumina,TORO1
SRX212171,PRJNA174850,Illumina,LHURS8
SRX212170,PRJNA174850,Illumina,MAL05
SRX209778,PRJNA174849,Illumina,CON2A
SRX209777,PRJNA174849,Illumina,APEP
SRX209776,PRJNA174849,Illumina,ACON
SRX209775,PRJNA174849,Illumina,MG4
SRX209774,PRJNA174849,Illumina,SA4c
SRX209773,PRJNA174849,Illumina,SA1d
SRX209772,PRJNA174849,Illumina,MG1
SRX209771,PRJNA174849,Illumina,SP10
SRX209770,PRJNA174849,Illumina,MODS28
SRX209769,PRJNA174849,Illumina,MODS27
SRX209768,PRJNA174849,Illumina,AP15
SRX209767,PRJNA174849,Illumina,JEL423
SRX209766,PRJNA174849,Illumina,TF5a1
SRX209765,PRJNA174849,Illumina,MAD
SRX209764,PRJNA174849,Illumina,RC5.1
SRX209763,PRJNA174849,Illumina,AUL
SRX209762,PRJNA174849,Illumina,ETH4
SRX209761,PRJNA174849,Illumina,ETH2
SRX209759,PRJNA174849,Illumina,SFBC014
SRX209758,PRJNA174849,Illumina,VC1
SRX209757,PRJNA174849,Illumina,BEW2
SRX209756,PRJNA174849,Illumina,BLI1

